frame_number,timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility
0,0.0,0.6639019846916199,0.18082579970359802,-0.36909323930740356,0.9999880790710449,0.4539308249950409,0.1934870034456253,-0.15553569793701172,0.999849796295166,0.6901066303253174,0.28390756249427795,-0.6853829622268677,0.9939737915992737,0.47177547216415405,0.293235719203949,-0.4576661288738251,0.9705213308334351,0.6190518736839294,0.19819103181362152,-1.0579700469970703,0.990387499332428,0.4959995150566101,0.20374873280525208,-0.9799071550369263,0.9902262687683105,0.6347663998603821,0.37916988134384155,-0.12609560787677765,0.9999717473983765,0.5184065699577332,0.381117582321167,0.1264593005180359,0.9997345805168152,0.6774395108222961,0.5051955580711365,-0.3879743814468384,0.99803227186203,0.514462411403656,0.4948989748954773,0.5670722723007202,0.9081127643585205,0.7484278082847595,0.6243685483932495,-0.2465439736843109,0.9955841898918152,0.5698365569114685,0.558947741985321,1.3197426795959473,0.7938368916511536
1,0.033331286127167625,0.6638988256454468,0.18082141876220703,-0.40198418498039246,0.9999856352806091,0.4553273916244507,0.19347359240055084,-0.18843024969100952,0.9998154640197754,0.6899320483207703,0.2838967442512512,-0.7581058144569397,0.9936864972114563,0.46935319900512695,0.2932358980178833,-0.5021867156028748,0.9667888879776001,0.6184204816818237,0.1982879936695099,-1.1271626949310303,0.9899266362190247,0.49723657965660095,0.20581869781017303,-0.9953197836875916,0.9888506531715393,0.6355103254318237,0.382108211517334,-0.12617714703083038,0.9999703168869019,0.5196482539176941,0.3848170042037964,0.12650755047798157,0.9997137784957886,0.6774914860725403,0.5052449107170105,-0.3483870327472687,0.9981353282928467,0.5133429169654846,0.4961049556732178,0.7045159935951233,0.9123234748840332,0.7471044063568115,0.6244074106216431,-0.24656181037425995,0.9959012866020203,0.56988525390625,0.5586586594581604,1.4519075155258179,0.8072736859321594
2,0.06666257225433525,0.6650829911231995,0.17989405989646912,-0.39974305033683777,0.9999834299087524,0.45624053478240967,0.19300249218940735,-0.19666053354740143,0.9997954964637756,0.6905108094215393,0.28388991951942444,-0.735750675201416,0.9932419061660767,0.46726396679878235,0.2941704988479614,-0.503730297088623,0.9618958830833435,0.6175247430801392,0.1986122876405716,-1.11016845703125,0.98943030834198,0.4977802336215973,0.20929691195487976,-1.0016812086105347,0.9872553944587708,0.6371615529060364,0.3825578987598419,-0.1163104996085167,0.9999679923057556,0.5212745070457458,0.38478606939315796,0.11636814475059509,0.9997066855430603,0.677746057510376,0.5060765147209167,-0.25862380862236023,0.9982223510742188,0.5063634514808655,0.49619197845458984,0.49532169103622437,0.9190198183059692,0.7463700175285339,0.6242808699607849,-0.09543915092945099,0.996166467666626,0.5692771673202515,0.5553913116455078,1.2270636558532715,0.8203567862510681
3,0.09999385838150289,0.6667362451553345,0.17892853915691376,-0.3958647847175598,0.9999820590019226,0.45709511637687683,0.19279468059539795,-0.2045937478542328,0.9997767210006714,0.6907840967178345,0.283889502286911,-0.7333436012268066,0.993052065372467,0.46575021743774414,0.29463332891464233,-0.509058952331543,0.9579953551292419,0.6158848404884338,0.19914060831069946,-1.1077098846435547,0.9891853928565979,0.4977512061595917,0.20976348221302032,-1.0125010013580322,0.9860702753067017,0.6372280716896057,0.38354089856147766,-0.11432662606239319,0.9999660849571228,0.52150958776474,0.3850838840007782,0.11435539275407791,0.9996968507766724,0.6777308583259583,0.506483256816864,-0.26327258348464966,0.9982861876487732,0.49658143520355225,0.4968172609806061,0.5092507004737854,0.9244288802146912,0.7458418011665344,0.6242210268974304,-0.09100811183452606,0.9963698387145996,0.5683812499046326,0.5520942211151123,1.2473779916763306,0.8305609822273254
4,0.1333251445086705,0.6667117476463318,0.17882274091243744,-0.3852221667766571,0.9999755024909973,0.4573043882846832,0.19276496767997742,-0.19672001898288727,0.9997325539588928,0.6905478835105896,0.283889502286911,-0.7280154824256897,0.9925269484519958,0.46414893865585327,0.2951735854148865,-0.5008633136749268,0.9512529373168945,0.6107940077781677,0.19970884919166565,-1.1131672859191895,0.9889154434204102,0.4953669607639313,0.2096594125032425,-1.0135059356689453,0.9845282435417175,0.6372166275978088,0.3851306140422821,-0.10037964582443237,0.9999563694000244,0.5213757157325745,0.3855054974555969,0.10032309591770172,0.9996916055679321,0.6771601438522339,0.5065611004829407,-0.15978685021400452,0.9982770085334778,0.47028404474258423,0.491659551858902,0.09992440789937973,0.9313634037971497,0.7454292178153992,0.6236757636070251,0.13604587316513062,0.9964937567710876,0.5594240427017212,0.5433818101882935,0.898652970790863,0.8423490524291992
5,0.16665643063583815,0.665623128414154,0.17808650434017181,-0.29322513937950134,0.9999730587005615,0.45729508996009827,0.19280414283275604,-0.12816420197486877,0.999723494052887,0.6855748295783997,0.28388598561286926,-0.6131134629249573,0.9919350147247314,0.46252572536468506,0.2964116036891937,-0.38635537028312683,0.9434619545936584,0.6036551594734192,0.2016621083021164,-1.0082072019577026,0.989029049873352,0.49055853486061096,0.20948350429534912,-0.9161818027496338,0.9827439785003662,0.6365543007850647,0.3868487477302551,-0.08087143301963806,0.9999385476112366,0.5196520090103149,0.386234849691391,0.08076699823141098,0.9996921420097351,0.6769071221351624,0.5074937343597412,-0.06584993749856949,0.9983140826225281,0.4398347735404968,0.48672062158584595,-0.22884058952331543,0.9380995035171509,0.7454027533531189,0.6226841807365417,0.29504579305648804,0.9966318011283875,0.547695517539978,0.538910448551178,0.5172836780548096,0.8551398515701294
6,0.19998771676300578,0.6619002223014832,0.17810803651809692,-0.3146408796310425,0.9999722838401794,0.4577479064464569,0.19264420866966248,-0.09098941087722778,0.9997222423553467,0.6704301238059998,0.2862922251224518,-0.647945761680603,0.9912589192390442,0.461607962846756,0.29692989587783813,-0.30180296301841736,0.9256837964057922,0.5943010449409485,0.20238229632377625,-1.022592306137085,0.989280104637146,0.4817599058151245,0.20928284525871277,-0.8239856958389282,0.9788693189620972,0.6317537426948547,0.39042848348617554,-0.08587146550416946,0.999923586845398,0.5166405439376831,0.3882216215133667,0.08584766834974289,0.9997031688690186,0.6764615178108215,0.5080500841140747,0.00429568812251091,0.9983154535293579,0.4188649356365204,0.47736161947250366,-0.26026326417922974,0.9441922903060913,0.7448664307594299,0.6213237047195435,0.41040560603141785,0.9967722296714783,0.5307624340057373,0.5368790626525879,0.40894436836242676,0.867940366268158
7,0.2333190028901734,0.6592691540718079,0.1790940910577774,-0.43159404397010803,0.9999721646308899,0.45874306559562683,0.1913825422525406,-0.07694417238235474,0.999731719493866,0.6420217752456665,0.28907936811447144,-0.7424017786979675,0.9904512166976929,0.45692551136016846,0.29678875207901,-0.26489004492759705,0.9002383351325989,0.5789765119552612,0.19965657591819763,-1.0279051065444946,0.989487886428833,0.4695209562778473,0.2062811404466629,-0.7655840516090393,0.9731931686401367,0.6220534443855286,0.3927152454853058,-0.0920296385884285,0.9999191761016846,0.5091750621795654,0.389169305562973,0.09195110201835632,0.9997230768203735,0.6678342819213867,0.5105499029159546,0.029463794082403183,0.9983298778533936,0.3976885974407196,0.46878424286842346,-0.14421898126602173,0.9496902227401733,0.7448704242706299,0.6213008165359497,0.42960119247436523,0.9969565272331238,0.5039719343185425,0.536834716796875,0.5063305497169495,0.8800705075263977
8,0.266650289017341,0.6500617265701294,0.1801934540271759,-0.4948510527610779,0.999969482421875,0.45876413583755493,0.19099092483520508,-0.05127435177564621,0.9997417330741882,0.6239123344421387,0.28999945521354675,-0.7983221411705017,0.9896334409713745,0.44301965832710266,0.2919871211051941,-0.2565532326698303,0.8706039190292358,0.5618692636489868,0.1991398185491562,-1.0373399257659912,0.9893825650215149,0.45151329040527344,0.20079414546489716,-0.8144760727882385,0.9670349359512329,0.6121469736099243,0.39354079961776733,-0.11814277619123459,0.9999097585678101,0.5027739405632019,0.3890477418899536,0.11820737272500992,0.9997401237487793,0.6592869162559509,0.511308491230011,0.07363903522491455,0.9983333945274353,0.38521385192871094,0.464507520198822,0.0011906709987670183,0.9545714259147644,0.7446374893188477,0.6213057637214661,0.4188535809516907,0.9971520900726318,0.46936795115470886,0.5385957360267639,0.5543633699417114,0.8913430571556091
9,0.2999815751445087,0.6393885612487793,0.18038704991340637,-0.48560020327568054,0.9999672174453735,0.4583491086959839,0.19047334790229797,-0.001753991236910224,0.999760627746582,0.6102465987205505,0.29061582684516907,-0.7647767663002014,0.9887917637825012,0.44207000732421875,0.29035484790802,-0.15832839906215668,0.8359231948852539,0.5427395105361938,0.20038649439811707,-0.9851359724998474,0.9888355731964111,0.4375082552433014,0.20109903812408447,-0.7016671895980835,0.9602421522140503,0.6033506393432617,0.39304208755493164,-0.1361210197210312,0.999894380569458,0.4962204396724701,0.3875090479850769,0.1362452656030655,0.9997556805610657,0.6539669036865234,0.511644184589386,0.06583945453166962,0.9983450770378113,0.37620222568511963,0.46070146560668945,0.0035201923456043005,0.9589386582374573,0.7440677285194397,0.6204153299331665,0.39310163259506226,0.9973354339599609,0.43858978152275085,0.5392849445343018,0.41724568605422974,0.9018138647079468
